,word,tag,,,,,,,,,,,,,,,
0,Ridge,B-PROD,,,,,,,,,,,,,,,
1,Accent,I-PROD,,,,,,,,,,,,,,,
2,Chair,I-PROD,,,,,,,,,,,,,,,
3,Skip,,,,,,,,,,,,,,,,
4,to,,,,,,,,,,,,,,,,
5,content,,,,,,,,,,,,,,,,
6,Open,,,,,,,,,,,,,,,,
7,navigation,,,,,,,,,,,,,,,,
8,menu,,,,,,,,,,,,,,,,
9,Open,,,,,,,,,,,,,,,,
10,search,,,,,,,,,,,,,,,,
11,Shop,,,,,,,,,,,,,,,,
12,Sofas,,,,,,,,,,,,,,,,
13,Sofas,,,,,,,,,,,,,,,,
14,Natural,,,,,,,,,,,,,,,,
15,Latex,,,,,,,,,,,,,,,,
16,+,,,,,,,,,,,,,,,,
17,Wool,,,,,,,,,,,,,,,,
18,Sofas,,,,,,,,,,,,,,,,
19,Sectionals,,,,,,,,,,,,,,,,
20,Sectionals,,,,,,,,,,,,,,,,
21,Natural,,,,,,,,,,,,,,,,
22,Latex,,,,,,,,,,,,,,,,
23,+,,,,,,,,,,,,,,,,
24,Wool,,,,,,,,,,,,,,,,
25,Sectionals,,,,,,,,,,,,,,,,
26,Sleeper,,,,,,,,,,,,,,,,
27,Sofas,,,,,,,,,,,,,,,,
28,Accent,,,,,,,,,,,,,,,,
29,Chairs,,,,,,,,,,,,,,,,
30,Bedroom,,,,,,,,,,,,,,,,
31,Storage,,,,,,,,,,,,,,,,
32,Dining,,,,,,,,,,,,,,,,
33,Accents,,,,,,,,,,,,,,,,
34,Accent,,,,,,,,,,,,,,,,
35,Tables,,,,,,,,,,,,,,,,
36,Poufs,,,,,,,,,,,,,,,,
37,",",,,,,,,,,,,,,,,,
38,Benches,,,,,,,,,,,,,,,,
39,",",,,,,,,,,,,,,,,,
40,&,,,,,,,,,,,,,,,,
41,Ottomans,,,,,,,,,,,,,,,,
42,Throw,,,,,,,,,,,,,,,,
43,Pillows,,,,,,,,,,,,,,,,
44,Best,,,,,,,,,,,,,,,,
45,Sellers,,,,,,,,,,,,,,,,
46,Deals,,,,,,,,,,,,,,,,
47,&,,,,,,,,,,,,,,,,
48,Ready,,,,,,,,,,,,,,,,
49,to,,,,,,,,,,,,,,,,
50,Ship,,,,,,,,,,,,,,,,
51,Explore,,,,,,,,,,,,,,,,
52,Our,,,,,,,,,,,,,,,,
53,Materials,,,,,,,,,,,,,,,,
54,Comfort,,,,,,,,,,,,,,,,
55,Guide,,,,,,,,,,,,,,,,
56,Craftsmanship,,,,,,,,,,,,,,,,
57,Our,,,,,,,,,,,,,,,,
58,Story,,,,,,,,,,,,,,,,
59,Order,,,,,,,,,,,,,,,,
60,Free,,,,,,,,,,,,,,,,
61,Samples,,,,,,,,,,,,,,,,
62,Medley,,,,,,,,,,,,,,,,
63,Open,,,,,,,,,,,,,,,,
64,search,,,,,,,,,,,,,,,,
65,Open,,,,,,,,,,,,,,,,
66,account,,,,,,,,,,,,,,,,
67,page,,,,,,,,,,,,,,,,
68,Open,,,,,,,,,,,,,,,,
69,cart,,,,,,,,,,,,,,,,
70,0,,,,,,,,,,,,,,,,
71,Shop,,,,,,,,,,,,,,,,
72,Explore,,,,,,,,,,,,,,,,
73,Order,,,,,,,,,,,,,,,,
74,Free,,,,,,,,,,,,,,,,
75,Samples,,,,,,,,,,,,,,,,
76,Account,,,,,,,,,,,,,,,,
77,Shop,,,,,,,,,,,,,,,,
78,Sofas,,,,,,,,,,,,,,,,
79,Sectionals,,,,,,,,,,,,,,,,
80,Sleeper,,,,,,,,,,,,,,,,
